dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,200,20.0,10,5,0.5,0.8334492090185777,1.1610701267092827,0.8473940479487052,1.3483999003053455,1.7571741443666102,0.563077100934534
scaffold,200,20.0,2,5,0.5,0.8334492090185777,1.1610701267092827,0.8473940479487052,1.3483999003053457,1.7571741443666102,0.563077100934534
scaffold,200,20.0,5,5,0.5,0.8334492090185777,1.1610701267092827,0.8473940479487052,1.3483999003053457,1.7571741443666102,0.563077100934534
scaffold,1000,20.0,2,5,0.5,0.8336160085792333,1.1594022858301596,0.8478321603979304,1.3505915947292324,1.754236335131879,0.5645368573433116
scaffold,1000,20.0,10,5,0.5,0.8336160085792333,1.1594022858301596,0.8478321603979304,1.3505915947292324,1.754236335131879,0.5645368573433116
scaffold,1000,20.0,5,5,0.5,0.8336160085792333,1.1594022858301598,0.8478321603979304,1.3505915947292324,1.7542363351318793,0.5645368573433116
scaffold,200,20.0,10,3,0.3,0.7825043600105813,1.0886929903884333,0.8658269093944144,1.3522074372142363,1.7426361137197917,0.5702769812609993
scaffold,500,,5,5,0.3,0.8273091484852788,1.1469420140644815,0.8510853264063606,1.3565978473915807,1.7510393022397015,0.5661226429690576
scaffold,500,,10,5,0.3,0.8273091484852788,1.1469420140644815,0.8510853264063606,1.3565978473915807,1.7510393022397015,0.5661226429690576
scaffold,500,,2,5,0.3,0.8273091484852788,1.1469420140644815,0.8510853264063606,1.3565978473915807,1.7510393022397017,0.5661226429690575
scaffold,1000,,5,5,0.3,0.8254435561811316,1.144747052218275,0.8516547523346966,1.357679098797558,1.7520557366454594,0.5656187869219577
scaffold,1000,,10,5,0.3,0.8254435561811316,1.144747052218275,0.8516547523346966,1.3576790987975582,1.7520557366454594,0.5656187869219576
scaffold,1000,,2,5,0.3,0.8254435561811315,1.144747052218275,0.8516547523346966,1.3576790987975584,1.7520557366454597,0.5656187869219576
scaffold,500,30.0,5,5,0.3,0.8356674132783887,1.1577990838454857,0.8482526996990103,1.358018120761282,1.7529951330106688,0.5651528593632839
scaffold,500,30.0,2,5,0.3,0.8356674132783887,1.1577990838454857,0.8482526996990104,1.3580181207612823,1.7529951330106688,0.5651528593632839
